地区名,クラブ名,クラブ名（カタカナ）,選択肢（地区名：クラブ名：クラブ名（カタカナ））,R7年度登録クラブ,R8年度登録申請クラブ,R8年度登録申請_タイムスタンプ
墨田区,特定非営利活動法人スポーツドアあずま,トクテイヒエイリカツドウホウジン　スポーツドアアズマ,墨田区 : 特定非営利活動法人スポーツドアあずま : トクテイヒエイリカツドウホウジン　スポーツドアアズマ,1,0,
墨田区,特定非営利活動法人　両国倶楽部,トクテイヒエイリカツドウホウジン　リョウゴククラブ,墨田区 : 特定非営利活動法人　両国倶楽部 : トクテイヒエイリカツドウホウジン　リョウゴククラブ,0,0,
江東区,特定非営利活動法人ななすぽ,トクテイヒエイリカツドウホウジン　ナナスポ,江東区 : 特定非営利活動法人ななすぽ : トクテイヒエイリカツドウホウジン　ナナスポ,0,0,
江東区,東陽・木場地域スポーツクラブ,トウヨウ・キバチイキスポーツクラブ,江東区 : 東陽・木場地域スポーツクラブ : トウヨウ・キバチイキスポーツクラブ,1,0,
江東区,海の森総合型地域スポーツクラブ,ウミノモリソウゴウガタチイキスポーツクラブ,江東区 : 海の森総合型地域スポーツクラブ : ウミノモリソウゴウガタチイキスポーツクラブ,1,0,
江東区,一般社団法人ＪＯＴＯ ＷＡＲＲＩＯＲＳ,イッパンシャダンホウジン　ジョウトウウォーリアーズ,江東区 : 一般社団法人ＪＯＴＯ ＷＡＲＲＩＯＲＳ : イッパンシャダンホウジン　ジョウトウウォーリアーズ,0,0,
江東区,すぽてらす豊洲,スポテラス　トヨス,江東区 : すぽてらす豊洲 : スポテラス　トヨス,1,0,
品川区,スポクラ・しながわ,スポクラ・シナガワ,品川区 : スポクラ・しながわ : スポクラ・シナガワ,0,0,
品川区,荏原Ｂ地域スポーツクラブ,エバラビーチイキスポーツクラブ,品川区 : 荏原Ｂ地域スポーツクラブ : エバラビーチイキスポーツクラブ,0,0,
品川区,地域クラブｅｂａｒａＡ,チイキクラブエバラエース,品川区 : 地域クラブｅｂａｒａＡ : チイキクラブエバラエース,0,0,
品川区,大井八潮地域スポーツクラブＴＯＹＳ,オオイヤシオチイキスポーツクラブトイズ,品川区 : 大井八潮地域スポーツクラブＴＯＹＳ : オオイヤシオチイキスポーツクラブトイズ,0,0,
目黒区,特定非営利活動法人スポルテ目黒,トクテイヒエイリカツドウホウジン　スポルテメグロ,目黒区 : 特定非営利活動法人スポルテ目黒 : トクテイヒエイリカツドウホウジン　スポルテメグロ,1,0,
大田区,特定非営利活動法人地域総合スポーツ倶楽部･ピボットフット,トクテイヒエイリカツドウホウジン　チイキソウゴウスポーツクラブ・ピボットフット,大田区 : 特定非営利活動法人地域総合スポーツ倶楽部･ピボットフット : トクテイヒエイリカツドウホウジン　チイキソウゴウスポーツクラブ・ピボットフット,1,0,
大田区,一般社団法人田園調布グリーンコミュニティ,イッパンシャダンホウジン　デンエンチョウフグリーンコミュニティ,大田区 : 一般社団法人田園調布グリーンコミュニティ : イッパンシャダンホウジン　デンエンチョウフグリーンコミュニティ,1,0,
大田区,特定非営利活動法人大田ウェルネスクラブ,トクテイヒエイリカツドウホウジン　オオタウェルネスクラブ,大田区 : 特定非営利活動法人大田ウェルネスクラブ : トクテイヒエイリカツドウホウジン　オオタウェルネスクラブ,1,0,
大田区,特定非営利活動法人スマイルかまた,トクテイヒエイリカツドウホウジン　スマイルカマタ,大田区 : 特定非営利活動法人スマイルかまた : トクテイヒエイリカツドウホウジン　スマイルカマタ,0,0,
大田区,特定非営利活動法人ベアーズ,トクテイヒエイリカツドウホウジン　ベアーズ,大田区 : 特定非営利活動法人ベアーズ : トクテイヒエイリカツドウホウジン　ベアーズ,0,0,
大田区,特定非営利活動法人大森コラボレーション　総合型地域スポーツクラブ（ソシオ大森）,トクテイヒエイリカツドウホウジン　オオモリコラボレーション　ソウゴウガタチイキスポーツクラブ　ソシオオオモリ,大田区 : 特定非営利活動法人大森コラボレーション　総合型地域スポーツクラブ（ソシオ大森） : トクテイヒエイリカツドウホウジン　オオモリコラボレーション　ソウゴウガタチイキスポーツクラブ　ソシオオオモリ,0,0,
大田区,一般社団法人大森フットボールクラブ,イッパンシャダンホウジン　オオモリフットボールクラブ,大田区 : 一般社団法人大森フットボールクラブ : イッパンシャダンホウジン　オオモリフットボールクラブ,0,0,
大田区,レスポ大森クラブ,レスポオオモリクラブ,大田区 : レスポ大森クラブ : レスポオオモリクラブ,0,0,
大田区,一般社団法人Sports Design Lab,イッパンシャダンホウジン　スポーツデザインラボ,大田区 : 一般社団法人Sports Design Lab : イッパンシャダンホウジン　スポーツデザインラボ,1,0,
大田区,特定非営利活動法人ド素人スポーツ,トクテイヒエイリカツドウホウジン　ドシロウトスポーツ,大田区 : 特定非営利活動法人ド素人スポーツ : トクテイヒエイリカツドウホウジン　ドシロウトスポーツ,0,0,
大田区,松仙ＦＣ,ショウセンエフシー,大田区 : 松仙ＦＣ : ショウセンエフシー,0,0,
世田谷区,東深沢スポーツ･文化クラブ,ヒガシフカサワスポーツ・ブンカクラブ,世田谷区 : 東深沢スポーツ･文化クラブ : ヒガシフカサワスポーツ・ブンカクラブ,1,0,
世田谷区,ようがコミュニティークラブ,ヨウガコミュニティークラブ,世田谷区 : ようがコミュニティークラブ : ヨウガコミュニティークラブ,0,0,
世田谷区,烏山スポーツクラブユニオン,カラスヤマスポーツクラブユニオン,世田谷区 : 烏山スポーツクラブユニオン : カラスヤマスポーツクラブユニオン,1,0,
世田谷区,総合型地域スポーツ・文化クラブしろやま倶楽部,ソウゴウガタチイキスポーツブンカクラブ　シロヤマクラブ,世田谷区 : 総合型地域スポーツ・文化クラブしろやま倶楽部 : ソウゴウガタチイキスポーツブンカクラブ　シロヤマクラブ,1,0,
世田谷区,こまざわスポーツ・文化クラブ,コマザワスポーツ・ブンカクラブ,世田谷区 : こまざわスポーツ・文化クラブ : コマザワスポーツ・ブンカクラブ,0,0,
世田谷区,翠と溪のスポーツ・文化クラブ,ミドリトタニノスポーツ・ブンカクラブ,世田谷区 : 翠と溪のスポーツ・文化クラブ : ミドリトタニノスポーツ・ブンカクラブ,0,0,
世田谷区,若林クラブ,ワカバヤシクラブ,世田谷区 : 若林クラブ : ワカバヤシクラブ,0,0,
世田谷区,ニチジョクラブ,ニチジョクラブ,世田谷区 : ニチジョクラブ : ニチジョクラブ,0,0,
世田谷区,総合型地域スポーツ・文化クラブ ちとふなコミュニティ,ソウゴウガタチイキスポーツ・ブンカクラブ　チトフナコミュニティ,世田谷区 : 総合型地域スポーツ・文化クラブ ちとふなコミュニティ : ソウゴウガタチイキスポーツ・ブンカクラブ　チトフナコミュニティ,0,0,
世田谷区,笹原総合型地域スポーツ文化クラブ,ササハラソウゴウガタチイキスポーツブンカクラブ,世田谷区 : 笹原総合型地域スポーツ文化クラブ : ササハラソウゴウガタチイキスポーツブンカクラブ,0,0,
世田谷区,一般社団法人ＮＩＴＴＡＩクラブ ＮＩＴＴＡＩクラブ世田谷,イッパンシャダンホウジン　ニッタイクラブ　ニッタイクラブセタガヤ,世田谷区 : 一般社団法人ＮＩＴＴＡＩクラブ ＮＩＴＴＡＩクラブ世田谷 : イッパンシャダンホウジン　ニッタイクラブ　ニッタイクラブセタガヤ,1,0,
渋谷区,初台アイアイクラブ,ハツダイアイアイクラブ,渋谷区 : 初台アイアイクラブ : ハツダイアイアイクラブ,0,0,
渋谷区,一般社団法人渋谷ほんまちクラブ,イッパンシャダンホウジン　シブヤホンマチクラブ,渋谷区 : 一般社団法人渋谷ほんまちクラブ : イッパンシャダンホウジン　シブヤホンマチクラブ,1,0,
渋谷区,上富わくわくクラブ,ウエトミワクワククラブ,渋谷区 : 上富わくわくクラブ : ウエトミワクワククラブ,0,0,
渋谷区,特定非営利活動法人　Ｆａｒｏ,トクテイヒエイリカツドウホウジン　ファロ,渋谷区 : 特定非営利活動法人　Ｆａｒｏ : トクテイヒエイリカツドウホウジン　ファロ,0,0,
中野区,中野区地域スポーツクラブ,ナカノクチイキスポーツクラブ,中野区 : 中野区地域スポーツクラブ : ナカノクチイキスポーツクラブ,0,0,
杉並区,向陽スポーツ文化クラブ,コウヨウスポーツブンカクラブ,杉並区 : 向陽スポーツ文化クラブ : コウヨウスポーツブンカクラブ,0,0,
杉並区,一般社団法人杉並アヤックス,イッパンシャダンホウジン　スギナミアヤックス,杉並区 : 一般社団法人杉並アヤックス : イッパンシャダンホウジン　スギナミアヤックス,0,0,
杉並区,クラブ１２３荻窪,クラブワンツースリーオギクボ,杉並区 : クラブ１２３荻窪 : クラブワンツースリーオギクボ,1,0,
豊島区,特定非営利活動法人地域総合型椎の美スポーツクラブ,トクテイヒエイリカツドウホウジン　チイキソウゴウガタシイノミスポーツクラブ,豊島区 : 特定非営利活動法人地域総合型椎の美スポーツクラブ : トクテイヒエイリカツドウホウジン　チイキソウゴウガタシイノミスポーツクラブ,0,0,
豊島区,西巣鴨中学校地域スポーツクラブ,ニシスガモチュウガッコウチイキスポーツクラブ,豊島区 : 西巣鴨中学校地域スポーツクラブ : ニシスガモチュウガッコウチイキスポーツクラブ,0,0,
豊島区,明豊地域スポーツクラブ,メイホウチイキスポーツクラブ,豊島区 : 明豊地域スポーツクラブ : メイホウチイキスポーツクラブ,0,0,
豊島区,西池袋中学校スポーツクラブ,ニシイケブクロチュウガッコウチイキスポーツクラブ,豊島区 : 西池袋中学校スポーツクラブ : ニシイケブクロチュウガッコウチイキスポーツクラブ,0,0,
北区,特定非営利活動法人れっど★しゃっふる,トクテイヒエイリカツドウホウジン　レッドシャッフル,北区 : 特定非営利活動法人れっど★しゃっふる : トクテイヒエイリカツドウホウジン　レッドシャッフル,1,0,
北区,コミスポたきのがわ,コミスポタキノガワ,北区 : コミスポたきのがわ : コミスポタキノガワ,0,0,
荒川区,南千住スポーツクラブ,ミナミセンジュスポーツクラブ,荒川区 : 南千住スポーツクラブ : ミナミセンジュスポーツクラブ,1,0,
板橋区,特定非営利活動法人志村スポーツクラブ・プリムラ,トクテイヒエイリカツドウホウジン　シムラスポーツクラブプリムラ,板橋区 : 特定非営利活動法人志村スポーツクラブ・プリムラ : トクテイヒエイリカツドウホウジン　シムラスポーツクラブプリムラ,1,0,
練馬区,特定非営利活動法人コミュニティネットSSC大泉,トクテイヒエイリカツドウホウジン　コミュニティネットエスエスシーオオイズミ,練馬区 : 特定非営利活動法人コミュニティネットSSC大泉 : トクテイヒエイリカツドウホウジン　コミュニティネットエスエスシーオオイズミ,1,0,
練馬区,特定非営利活動法人ＳＳＣ谷原アルファ,トクテイヒエイリカツドウホウジン　エスエスシーヤワラアルファ,練馬区 : 特定非営利活動法人ＳＳＣ谷原アルファ : トクテイヒエイリカツドウホウジン　エスエスシーヤワラアルファ,1,0,
練馬区,特定非営利活動法人スポーツコミュニティー桜,トクテイヒエイリカツドウホウジン　スポーツコミュニティーサクラ,練馬区 : 特定非営利活動法人スポーツコミュニティー桜 : トクテイヒエイリカツドウホウジン　スポーツコミュニティーサクラ,0,0,
練馬区,特定非営利活動法人光が丘総合型地域スポーツ・レクリエーションクラブ,トクテイヒエイリカツドウホウジン　ヒカリガオカソウゴウガタチイキスポーツ・レクリエーションクラブ,練馬区 : 特定非営利活動法人光が丘総合型地域スポーツ・レクリエーションクラブ : トクテイヒエイリカツドウホウジン　ヒカリガオカソウゴウガタチイキスポーツ・レクリエーションクラブ,1,0,
練馬区,特定非営利活動法人総合型地域スポーツクラブ平和台,トクテイヒエイリカツドウホウジン　ソウゴウガタチイキスポーツクラブヘイワダイ,練馬区 : 特定非営利活動法人総合型地域スポーツクラブ平和台 : トクテイヒエイリカツドウホウジン　ソウゴウガタチイキスポーツクラブヘイワダイ,0,0,
練馬区,特定非営利活動法人スポーツクラブホワイエ上石神井,トクテイヒエイリカツドウホウジン　スポーツクラブホワイエカミシャクジイ,練馬区 : 特定非営利活動法人スポーツクラブホワイエ上石神井 : トクテイヒエイリカツドウホウジン　スポーツクラブホワイエカミシャクジイ,1,0,
練馬区,特定非営利活動法人豊玉・中村地域スポーツクラブ クラブプラッツ,トクテイヒエイリカツドウホウジン　トヨタマナカムラチイキスポーツクラブクラブプラッツ,練馬区 : 特定非営利活動法人豊玉・中村地域スポーツクラブ クラブプラッツ : トクテイヒエイリカツドウホウジン　トヨタマナカムラチイキスポーツクラブクラブプラッツ,0,0,
足立区,ＫＩＴクラブ２１,キットクラブニジュウイチ,足立区 : ＫＩＴクラブ２１ : キットクラブニジュウイチ,1,0,
足立区,特定非営利活動法人ASCC,トクテイヒエイリカツドウホウジン　エーエスシーシー,足立区 : 特定非営利活動法人ASCC : トクテイヒエイリカツドウホウジン　エーエスシーシー,0,0,
足立区,Ｕ＆Ｕクラブ,ユーアンドユークラブ,足立区 : Ｕ＆Ｕクラブ : ユーアンドユークラブ,0,0,
足立区,興本倶楽部,オキモトクラブ,足立区 : 興本倶楽部 : オキモトクラブ,0,0,
足立区,千住ウェスト,センジュウエスト,足立区 : 千住ウェスト : センジュウエスト,0,0,
足立区,ＪＯＴＯクラブ,ジョウトウクラブ,足立区 : ＪＯＴＯクラブ : ジョウトウクラブ,0,0,
足立区,ＳＵＫ²クラブ,スクスククラブ,足立区 : ＳＵＫ²クラブ : スクスククラブ,0,0,
足立区,足立区中央地区総合型地域クラブ　ＮＡＣＫクラブ,アダチクチュウオウチクソウゴウガタチイキクラブ　ナッククラブ,足立区 : 足立区中央地区総合型地域クラブ　ＮＡＣＫクラブ : アダチクチュウオウチクソウゴウガタチイキクラブ　ナッククラブ,0,0,
足立区,ＳＳＫクラブ,エスエスケークラブ,足立区 : ＳＳＫクラブ : エスエスケークラブ,0,0,
葛飾区,特定非営利活動法人こやのエンジョイくらぶ,トクテイヒエイリカツドウホウジンコヤノエンジョイクラブ,葛飾区 : 特定非営利活動法人こやのエンジョイくらぶ : トクテイヒエイリカツドウホウジンコヤノエンジョイクラブ,1,0,
葛飾区,一般社団法人オール水元スポーツクラブ,イッパンシャダンホウジン　オールミズモトスポーツクラブ,葛飾区 : 一般社団法人オール水元スポーツクラブ : イッパンシャダンホウジン　オールミズモトスポーツクラブ,1,0,
江戸川区,一般社団法人清新ＪＡＣ,イッパンシャダンホウジン　セイシンジャック,江戸川区 : 一般社団法人清新ＪＡＣ : イッパンシャダンホウジン　セイシンジャック,1,0,
江戸川区,一般社団法人東京23スポーツクラブ,イッパンシャダンホウジン　トウキョウニジュウサンスポーツクラブ,江戸川区 : 一般社団法人東京23スポーツクラブ : イッパンシャダンホウジン　トウキョウニジュウサンスポーツクラブ,0,0,
江戸川区,一般社団法人MUCHU,イッパンシャダンホウジン　ムチュウ,江戸川区 : 一般社団法人MUCHU : イッパンシャダンホウジン　ムチュウ,1,0,
江戸川区,一般社団法人 城東スポーツクラブ,イッパンシャダンホウジン　ジョウトウスポーツクラブ,江戸川区 : 一般社団法人 城東スポーツクラブ : イッパンシャダンホウジン　ジョウトウスポーツクラブ,1,0,
八王子市,浅川地区総合型地域スポーツクラブ,アサカワチクソウゴウガタチイキスポーツクラブ,八王子市 : 浅川地区総合型地域スポーツクラブ : アサカワチクソウゴウガタチイキスポーツクラブ,0,0,
八王子市,恩方夕やけスポーツクラブ,オンガタユウヤケスポーツクラブ,八王子市 : 恩方夕やけスポーツクラブ : オンガタユウヤケスポーツクラブ,0,0,
八王子市,中野地区地域総合型スポーツクラブ,ナカノチクチイキソウゴウガタスポーツクラブ,八王子市 : 中野地区地域総合型スポーツクラブ : ナカノチクチイキソウゴウガタスポーツクラブ,0,0,
八王子市,特定非営利活動法人はちきたＳＣ,トクテイヒエイリカツドウホウジン　ハチキタエスシー,八王子市 : 特定非営利活動法人はちきたＳＣ : トクテイヒエイリカツドウホウジン　ハチキタエスシー,0,0,
八王子市,横川総合型地域スポーツクラブ,ヨコカワソウゴウガタチイキスポーツクラブ,八王子市 : 横川総合型地域スポーツクラブ : ヨコカワソウゴウガタチイキスポーツクラブ,0,0,
八王子市,多摩ニュータウンスポーツクラブ,タマニュータウンスポーツクラブ,八王子市 : 多摩ニュータウンスポーツクラブ : タマニュータウンスポーツクラブ,0,0,
八王子市,八王子市陶鎔地区スポーツクラブ,ハチオウジシトウヨウチクスポーツクラブ,八王子市 : 八王子市陶鎔地区スポーツクラブ : ハチオウジシトウヨウチクスポーツクラブ,0,0,
八王子市,第三地区スポーツクラブ運営委員会,ダイサンチクスポーツクラブウンエイイインカイ,八王子市 : 第三地区スポーツクラブ運営委員会 : ダイサンチクスポーツクラブウンエイイインカイ,0,0,
八王子市,第八地区スポーツクラブ運営協議会,ダイハチチクスポーツクラブウンエイキョウギカイ,八王子市 : 第八地区スポーツクラブ運営協議会 : ダイハチチクスポーツクラブウンエイキョウギカイ,0,0,
八王子市,横山南スポーツクラブ,ヨコヤマミナミスポーツクラブ,八王子市 : 横山南スポーツクラブ : ヨコヤマミナミスポーツクラブ,0,0,
八王子市,子安地域総合スポーツクラブ,コヤスチイキソウゴウスポーツクラブ,八王子市 : 子安地域総合スポーツクラブ : コヤスチイキソウゴウスポーツクラブ,0,0,
八王子市,横山中部スポーツクラブ,ヨコヤマチュウブスポーツクラブ,八王子市 : 横山中部スポーツクラブ : ヨコヤマチュウブスポーツクラブ,0,0,
八王子市,九小・二中地区スポーツクラブ,キュウショウニチュウチクスポーツクラブ,八王子市 : 九小・二中地区スポーツクラブ : キュウショウニチュウチクスポーツクラブ,0,0,
八王子市,加住地区総合型スポーツクラブ,カスミチクソウゴウガタスポーツクラブ,八王子市 : 加住地区総合型スポーツクラブ : カスミチクソウゴウガタスポーツクラブ,0,0,
八王子市,第２地区さわやか健康スポーツ推進連絡会,ダイニチクサワヤカケンコウスポーツスイシンレンラクカイ,八王子市 : 第２地区さわやか健康スポーツ推進連絡会 : ダイニチクサワヤカケンコウスポーツスイシンレンラクカイ,0,0,
八王子市,第四地区市民体力つくりの会,ダイヨンチクサワヤカケンコウスポーツスイシンレンラクカイ,八王子市 : 第四地区市民体力つくりの会 : ダイヨンチクサワヤカケンコウスポーツスイシンレンラクカイ,0,0,
八王子市,元八王子東小地区総合型地域スポーツクラブ,モトハチオウジヒガシショウチクソウゴウガタチイキスポーツクラブ,八王子市 : 元八王子東小地区総合型地域スポーツクラブ : モトハチオウジヒガシショウチクソウゴウガタチイキスポーツクラブ,0,0,
八王子市,第一地区スポーツクラブ,ダイイチチクスポーツクラブ,八王子市 : 第一地区スポーツクラブ : ダイイチチクスポーツクラブ,0,0,
八王子市,弐分方小地区総合型地域スポーツクラブ,ニブカタショウチクソウゴウガタチイキスポーツクラブ,八王子市 : 弐分方小地区総合型地域スポーツクラブ : ニブカタショウチクソウゴウガタチイキスポーツクラブ,0,0,
立川市,立川市富士見町体育会,タチカワシフジミチョウタイイクカイ,立川市 : 立川市富士見町体育会 : タチカワシフジミチョウタイイクカイ,0,0,
立川市,立川市柴崎町体育会,タチカワシシバサキチョウタイイクカイ,立川市 : 立川市柴崎町体育会 : タチカワシシバサキチョウタイイクカイ,0,0,
立川市,立川市錦町体育会,タチカワシニシキチョウタイイクカイ,立川市 : 立川市錦町体育会 : タチカワシニシキチョウタイイクカイ,0,0,
立川市,立川市曙町体育会,タチカワシアケボノチョウタイイクカイ,立川市 : 立川市曙町体育会 : タチカワシアケボノチョウタイイクカイ,0,0,
立川市,立川市高松町体育会,タチカワシタカマツチョウタイイクカイ,立川市 : 立川市高松町体育会 : タチカワシタカマツチョウタイイクカイ,0,0,
立川市,立川市羽衣町体育会,タチカワシアケボノチョウタイイクカイ,立川市 : 立川市羽衣町体育会 : タチカワシアケボノチョウタイイクカイ,0,0,
立川市,立川市砂川体育会,タチカワシスナガワタイイクカイ,立川市 : 立川市砂川体育会 : タチカワシスナガワタイイクカイ,0,0,
立川市,立川市栄町体育会,タチカワシサカエチョウタイイクカイ,立川市 : 立川市栄町体育会 : タチカワシサカエチョウタイイクカイ,0,0,
立川市,立川市若葉町体育会,タチカワシワカバチョウタイイクカイ,立川市 : 立川市若葉町体育会 : タチカワシワカバチョウタイイクカイ,0,0,
立川市,立川市西砂川地区体育会,タチカワシニシスナガワチクタイイクカイ,立川市 : 立川市西砂川地区体育会 : タチカワシニシスナガワチクタイイクカイ,0,0,
立川市,立川市幸町体育会,タチカワシサイワイチョウタイイクカイ,立川市 : 立川市幸町体育会 : タチカワシサイワイチョウタイイクカイ,0,0,
立川市,立川市柏町体育会,タチカワシカシワチョウタイイクカイ,立川市 : 立川市柏町体育会 : タチカワシカシワチョウタイイクカイ,0,0,
三鷹市,三鷹市ベッセルスポーツクラブ,ミタカシベッセルスポーツクラブ,三鷹市 : 三鷹市ベッセルスポーツクラブ : ミタカシベッセルスポーツクラブ,1,0,
三鷹市,三鷹ウエストスポーツクラブ,ミタカウエストスポーツクラブ,三鷹市 : 三鷹ウエストスポーツクラブ : ミタカウエストスポーツクラブ,0,0,
三鷹市,一般社団法人スカイリミットスポーツ三鷹,イッパンシャダンホウジン　スカイリミットスポーツミタカ,三鷹市 : 一般社団法人スカイリミットスポーツ三鷹 : イッパンシャダンホウジン　スカイリミットスポーツミタカ,1,0,
青梅市,地域スポーツ文化交流クラブ御岳,チイキスポーツブンカコウリュウクラブミタケ,青梅市 : 地域スポーツ文化交流クラブ御岳 : チイキスポーツブンカコウリュウクラブミタケ,0,0,
青梅市,地域スポーツ文化交流クラブままにこっと,チイキスポーツブンカコウリュウクラブママニコット,青梅市 : 地域スポーツ文化交流クラブままにこっと : チイキスポーツブンカコウリュウクラブママニコット,0,0,
府中市,府中市総合型ｆ-エフ- スポーツクラブ,フチュウシソウゴウガタエフスポーツクラブ,府中市 : 府中市総合型ｆ-エフ- スポーツクラブ : フチュウシソウゴウガタエフスポーツクラブ,0,0,
府中市,府中市総合型地域クラブ すたあと,フチュウシソウフォウガタチイキクラブ　スタアト,府中市 : 府中市総合型地域クラブ すたあと : フチュウシソウフォウガタチイキクラブ　スタアト,0,0,
昭島市,昭島くじらスポーツクラブ,アキシマクジラスポーツクラブ,昭島市 : 昭島くじらスポーツクラブ : アキシマクジラスポーツクラブ,0,0,
調布市,特定非営利活動法人調和ＳＨＣ倶楽部,トクテイヒエイリカツドウホウジン　チョウワエスエイチシークラブ,調布市 : 特定非営利活動法人調和ＳＨＣ倶楽部 : トクテイヒエイリカツドウホウジン　チョウワエスエイチシークラブ,1,0,
町田市,特定非営利活動法人ＩＳＣＡ,トクテイヒエイリカツドウホウジン　アイエスシーエー,町田市 : 特定非営利活動法人ＩＳＣＡ : トクテイヒエイリカツドウホウジン　アイエスシーエー,0,0,
町田市,特定非営利活動法人法政クラブ,トクテイヒエイリカツドウホウジン　ホウセイクラブ,町田市 : 特定非営利活動法人法政クラブ : トクテイヒエイリカツドウホウジン　ホウセイクラブ,0,0,
町田市,特定非営利活動法人アスレチッククラブ町田（町田ゼルビアスポーツクラブ）,トクテイヒエイリカツドウホウジン　アスレチッククラブマチダ（マチダゼルビアスポーツクラブ）,町田市 : 特定非営利活動法人アスレチッククラブ町田（町田ゼルビアスポーツクラブ） : トクテイヒエイリカツドウホウジン　アスレチッククラブマチダ（マチダゼルビアスポーツクラブ）,1,0,
町田市,特定非営利活動法人インターナショナルスポーツネットワーク,トクテイヒエイリカツドウホウジン　インターナショナルスポーツネットワーク,町田市 : 特定非営利活動法人インターナショナルスポーツネットワーク : トクテイヒエイリカツドウホウジン　インターナショナルスポーツネットワーク,0,0,
町田市,特定非営利活動法人ドリームスポーツ,トクテイヒエイリカツドウホウジン　ドリームスポーツ,町田市 : 特定非営利活動法人ドリームスポーツ : トクテイヒエイリカツドウホウジン　ドリームスポーツ,0,0,
町田市,おやまスポーツ・文化倶楽部,オヤマスポーツ・ブンカクラブ,町田市 : おやまスポーツ・文化倶楽部 : オヤマスポーツ・ブンカクラブ,0,0,
町田市,一般社団法人町田スポーツ文化ネットワーク,イッパンシャダンホウジン　マチダスポーツブンカネットワーク,町田市 : 一般社団法人町田スポーツ文化ネットワーク : イッパンシャダンホウジン　マチダスポーツブンカネットワーク,0,0,
町田市,七国山クラブ,ナナクニヤマクラブ,町田市 : 七国山クラブ : ナナクニヤマクラブ,0,0,
町田市,なんまち絆クラブ,ナンマチキズナクラブ,町田市 : なんまち絆クラブ : ナンマチキズナクラブ,0,0,
町田市,一般社団法人相原地域総合スポーツクラブ,イッパンシャダンホウジン　アイハラチイキソウゴウスポーツクラブ,町田市 : 一般社団法人相原地域総合スポーツクラブ : イッパンシャダンホウジン　アイハラチイキソウゴウスポーツクラブ,0,0,
町田市,一般社団法人コクア,イッパンシャダンホウジン　コクア,町田市 : 一般社団法人コクア : イッパンシャダンホウジン　コクア,0,0,
小金井市,特定非営利活動法人黄金井倶楽部,トクテイヒエイリカツドウホウジン　コガネイクラブ,小金井市 : 特定非営利活動法人黄金井倶楽部 : トクテイヒエイリカツドウホウジン　コガネイクラブ,0,0,
小平市,一般社団法人 こみゅと小平,イッパンシャダンホウジン　コミュトコダイラ,小平市 : 一般社団法人 こみゅと小平 : イッパンシャダンホウジン　コミュトコダイラ,0,0,
